original_id	canonical_id
royals:wp:en:laurence-mouton	royals:wp:en:laurence-mouton
royals:wp:en:catherine-de-neufville	royals:wp:en:catherine-de-neufville
royals:wp:en:prince-charles-louis-duke-of-chartres	royals:wp:en:prince-charles-louis-duke-of-chartres
royals:wp:en:antoinette-de-pons-duchesse-de-la-vauguyon	royals:wp:en:antoinette-de-pons-duchesse-de-la-vauguyon
royals:wp:en:prince-of-caraman	royals:wp:en:prince-of-caraman
royals:wp:en:margaret-of-rohan-countess-of-angoulême	royals:wp:en:margaret-of-rohan-countess-of-angoulême
royals:wp:en:louise-de-rohan-guémené	royals:wp:en:louise-de-rohan-guémené
royals:wp:en:walter-rothschild-zoological-museum	royals:wp:en:walter-rothschild-zoological-museum
royals:wp:en:louise-von-rothschild	royals:wp:en:louise-von-rothschild
royals:wp:en:gersende-de-sabran-pontevès	royals:wp:en:gersende-de-sabran-pontevès
royals:wp:en:duke-of-noirmoutier	royals:wp:en:duke-of-noirmoutier
royals:wp:en:house-of-bentheim-tecklenburg	royals:wp:en:house-of-bentheim-tecklenburg
royals:wp:en:hessi-clan	royals:wp:en:hessi-clan
royals:wp:en:osten-sacken	royals:wp:en:osten-sacken
royals:wp:en:viktor-adolf-prince-of-bentheim-and-steinfurt	royals:wp:en:viktor-adolf-prince-of-bentheim-and-steinfurt
royals:wp:en:pincess-rosa-helene-of-solms-hohensolms-lich	royals:wp:en:pincess-rosa-helene-of-solms-hohensolms-lich
royals:wp:en:princess-juliane-of-bentheim-and-steinfurt-19322013	royals:wp:en:princess-juliane-of-bentheim-and-steinfurt-19322013
royals:wp:en:princess-rosa-helene-of-solms-hohensolms-lich	royals:wp:en:princess-rosa-helene-of-solms-hohensolms-lich
royals:wp:en:house-of-bentheim-tecklenburg	royals:wp:en:house-of-bentheim-tecklenburg
royals:wp:en:house-of-berg	Q819259
royals:wp:en:leopold-von-der-decken	royals:wp:en:leopold-von-der-decken
royals:wp:en:johann-friedrich-von-der-decken	royals:wp:en:johann-friedrich-von-der-decken
royals:wp:en:friedrich-karl-i-prince-of-hohenlohe-waldenburg-schillingsfürst	royals:wp:en:friedrich-karl-i-prince-of-hohenlohe-waldenburg-schillingsfürst
royals:wp:en:princess-agathe-of-hohenlohe-schillingsfürst	royals:wp:en:princess-agathe-of-hohenlohe-schillingsfürst
royals:wp:en:princess-mechtilde-of-urach	royals:wp:en:princess-mechtilde-of-urach
royals:wp:en:victor-iii-duke-of-ratibor	royals:wp:en:victor-iii-duke-of-ratibor
royals:wp:en:friedrich-karl-iii-prince-of-hohenlohe-waldenburg-schillingsfürst	royals:wp:en:friedrich-karl-iii-prince-of-hohenlohe-waldenburg-schillingsfürst
royals:wp:en:friedrich-karl-ii-prince-of-hohenlohe-waldenburg-schillingsfürst	royals:wp:en:friedrich-karl-ii-prince-of-hohenlohe-waldenburg-schillingsfürst
royals:wp:en:princess-therese-of-hohenlohe-waldenburg-schillingsfürst-born-1938	royals:wp:en:princess-therese-of-hohenlohe-waldenburg-schillingsfürst-born-1938
royals:wp:en:viktor-hereditary-prince-of-isenburg-birstein	royals:wp:en:viktor-hereditary-prince-of-isenburg-birstein
royals:wp:en:franz-joseph-prince-of-isenburg-birstein	royals:wp:en:franz-joseph-prince-of-isenburg-birstein
royals:wp:en:princess-sophie-of-isenburg-büdingen-19031971	royals:wp:en:princess-sophie-of-isenburg-büdingen-19031971
royals:wp:en:cultural-depictions-of-barbara-of-cilli	royals:wp:en:cultural-depictions-of-barbara-of-cilli
royals:wp:en:anna-eleonora-of-nassau-weilburg	royals:wp:en:anna-eleonora-of-nassau-weilburg
royals:wp:en:countess-diane-of-nassau	royals:wp:en:countess-diane-of-nassau
royals:wp:en:waringo-report	royals:wp:en:waringo-report
royals:wp:en:johannes-wilhelm-von-reinhartshausen	royals:wp:en:johannes-wilhelm-von-reinhartshausen
royals:wp:en:reuß-hirschberg	royals:wp:en:reuß-hirschberg
royals:wp:en:cultural-depictions-of-gisela-of-swabia	royals:wp:en:cultural-depictions-of-gisela-of-swabia
royals:wp:en:princess-marie-luise-of-salm-horstmar	royals:wp:en:princess-marie-luise-of-salm-horstmar
royals:wp:en:prince-hubertus-of-schoenaich-carolath	royals:wp:en:prince-hubertus-of-schoenaich-carolath
royals:wp:en:prince-sieghard-of-schoenaich-carolath	royals:wp:en:prince-sieghard-of-schoenaich-carolath
royals:wp:en:zabór-castle	royals:wp:en:zabór-castle
royals:wp:en:princess-caroline-of-solms-hohensolms-lich	royals:wp:en:princess-caroline-of-solms-hohensolms-lich
royals:wp:en:countess-katharina-polyxena-of-solms-rödelheim	royals:wp:en:countess-katharina-polyxena-of-solms-rödelheim
royals:wp:en:reinhard-prince-of-solms-hohensolms-lich	royals:wp:en:reinhard-prince-of-solms-hohensolms-lich
royals:wp:en:otto-iv-count-of-solms-laubach	royals:wp:en:otto-iv-count-of-solms-laubach
royals:wp:en:georg-friedrich-count-of-solms-laubach	royals:wp:en:georg-friedrich-count-of-solms-laubach
royals:wp:en:countess-agnes-of-stolberg-wernigerode-18421904	royals:wp:en:countess-agnes-of-stolberg-wernigerode-18421904
royals:wp:en:countess-marie-antonia-of-stolberg-wernigerode	royals:wp:en:countess-marie-antonia-of-stolberg-wernigerode
royals:wp:en:charles-count-palatine-of-gelnhausen	royals:wp:en:charles-count-palatine-of-gelnhausen
royals:wp:en:princess-helmtrud-of-bavaria	royals:wp:en:princess-helmtrud-of-bavaria
royals:wp:en:princess-sophie-amalie-of-zweibrücken	royals:wp:en:princess-sophie-amalie-of-zweibrücken
royals:wp:en:princess-magdalene-juliane-of-zweibrücken-birkenfeld	royals:wp:en:princess-magdalene-juliane-of-zweibrücken-birkenfeld
royals:wp:en:gutshaus-steglitz	royals:wp:en:gutshaus-steglitz
royals:wp:en:osten-sacken	royals:wp:en:osten-sacken
royals:wp:en:villa-demidoff	royals:wp:en:villa-demidoff
royals:wp:en:toyoda-clan	royals:wp:en:toyoda-clan
royals:wp:en:toyoda-clan	royals:wp:en:toyoda-clan
royals:wp:en:abe-masaatsu	royals:wp:en:abe-masaatsu
royals:wp:en:abe-masaakira	royals:wp:en:abe-masaakira
royals:wp:en:abe-masakata	royals:wp:en:abe-masakata
royals:wp:en:abe-masasada	royals:wp:en:abe-masasada
royals:wp:en:abe-masahisa	royals:wp:en:abe-masahisa
royals:wp:en:akita-terusue	royals:wp:en:akita-terusue
royals:wp:en:akita-yorisue	royals:wp:en:akita-yorisue
royals:wp:en:akita-nobusue	royals:wp:en:akita-nobusue
royals:wp:en:akita-sadasue	royals:wp:en:akita-sadasue
royals:wp:en:akita-morisue	royals:wp:en:akita-morisue
royals:wp:en:akita-yoshisue	royals:wp:en:akita-yoshisue
royals:wp:en:akita-nagasue	royals:wp:en:akita-nagasue
royals:wp:en:akita-norisue	royals:wp:en:akita-norisue
royals:wp:en:akita-tomosue	royals:wp:en:akita-tomosue
royals:wp:en:akita-akisue	royals:wp:en:akita-akisue
royals:wp:en:andō-nobunari	royals:wp:en:andō-nobunari
royals:wp:en:andō-nobukiyo	royals:wp:en:andō-nobukiyo
royals:wp:en:andō-nobuyoshi	royals:wp:en:andō-nobuyoshi
royals:wp:en:andō-nobuyori	royals:wp:en:andō-nobuyori
royals:wp:en:andō-nobutami	royals:wp:en:andō-nobutami
royals:wp:en:andō-nobutake	royals:wp:en:andō-nobutake
royals:wp:en:arima-kiyozumi	royals:wp:en:arima-kiyozumi
royals:wp:en:arima-kiyonori	royals:wp:en:arima-kiyonori
royals:wp:en:arima-takazumi	royals:wp:en:arima-takazumi
royals:wp:en:arima-masazumi	royals:wp:en:arima-masazumi
royals:wp:en:arima-shigezumi	royals:wp:en:arima-shigezumi
royals:wp:en:arima-norizumi	royals:wp:en:arima-norizumi
royals:wp:en:arima-haruzumi-maruoka	royals:wp:en:arima-haruzumi-maruoka
royals:wp:en:arima-michizumi	royals:wp:en:arima-michizumi
royals:wp:en:doi-toshifusa	royals:wp:en:doi-toshifusa
royals:wp:en:doi-toshitomo	royals:wp:en:doi-toshitomo
royals:wp:en:doi-toshihiro	royals:wp:en:doi-toshihiro
royals:wp:en:doi-toshisada	royals:wp:en:doi-toshisada
royals:wp:en:doi-toshitsune	royals:wp:en:doi-toshitsune
royals:wp:en:doi-toshinori-ōno	royals:wp:en:doi-toshinori-ōno
royals:wp:en:doi-toshinori-koga	royals:wp:en:doi-toshinori-koga
royals:wp:en:doi-toshinori-18471872	royals:wp:en:doi-toshinori-18471872
royals:wp:en:doi-toshinori-17681794	royals:wp:en:doi-toshinori-17681794
royals:wp:en:doi-toshikata-ōno	royals:wp:en:doi-toshikata-ōno
royals:wp:en:doi-toshikata-kariya	royals:wp:en:doi-toshikata-kariya
royals:wp:en:honda-tadayuki	royals:wp:en:honda-tadayuki
royals:wp:en:honda-tadakazu	royals:wp:en:honda-tadakazu
royals:wp:en:honda-tadashige	royals:wp:en:honda-tadashige
royals:wp:en:honda-tadatomo-izumi-domain	royals:wp:en:honda-tadatomo-izumi-domain
royals:wp:en:honda-tadanori	royals:wp:en:honda-tadanori
royals:wp:en:honda-tadatoshi	royals:wp:en:honda-tadatoshi
royals:wp:en:honda-tadanobu	royals:wp:en:honda-tadanobu
royals:wp:en:honda-sukeyoshi	royals:wp:en:honda-sukeyoshi
royals:wp:en:honda-yasuakira	royals:wp:en:honda-yasuakira
royals:wp:en:honda-sukemochi	royals:wp:en:honda-sukemochi
royals:wp:en:honda-sukemitsu	royals:wp:en:honda-sukemitsu
royals:wp:en:honda-suketsugu	royals:wp:en:honda-suketsugu
royals:wp:en:honda-suketoshi	royals:wp:en:honda-suketoshi
royals:wp:en:honda-sukezane	royals:wp:en:honda-sukezane
royals:wp:en:honda-sukeshige	royals:wp:en:honda-sukeshige
royals:wp:en:honda-suketaka	royals:wp:en:honda-suketaka
royals:wp:en:ogasawara-nobutane	royals:wp:en:ogasawara-nobutane
royals:wp:en:hori-naotoki	royals:wp:en:hori-naotoki
royals:wp:en:hori-naotoshi	royals:wp:en:hori-naotoshi
royals:wp:en:hori-naoyuki	royals:wp:en:hori-naoyuki
royals:wp:en:hori-naotaka	royals:wp:en:hori-naotaka
royals:wp:en:hori-naonori	royals:wp:en:hori-naonori
royals:wp:en:hori-naoyoshi-d1676	royals:wp:en:hori-naoyoshi-d1676
royals:wp:en:hori-naoyoshi-d1903	royals:wp:en:hori-naoyoshi-d1903
